surface,polarity,intensity
シンプル,positive,0.7
分かりやすかった,positive,0.7
わかりやすかった,positive,0.7
見やすかった,positive,0.7
助かりました,positive,0.7
素晴らしかった,positive,0.9
最高でした,positive,0.9
良いです,positive,0.5
いいです,positive,0.5
おすすめです,positive,0.7
いまいち,negative,0.5
イマイチ,negative,0.5
今一つ,negative,0.5
今ひとつ,negative,0.5
微妙,negative,0.5
ひどい,negative,0.9
酷い,negative,0.9
最悪,negative,0.9
悪い,negative,0.7
不便,negative,0.7
使いにくい,negative,0.7
使いづらい,negative,0.7
分かりにくい,negative,0.7
わかりにくい,negative,0.7
遅い,negative,0.5
高すぎ,negative,0.7
高すぎる,negative,0.7
不満,negative,0.7
不十分,negative,0.7
不親切,negative,0.7
雑,negative,0.5
粗い,negative,0.7
劣化,negative,0.7
低品質,negative,0.7
不良,negative,0.7
不良品,negative,0.7
壊れた,negative,0.7
壊れる,negative,0.7
壊れやすい,negative,0.7
期待外れ,negative,0.7
期待はずれ,negative,0.7
まずい,negative,0.7
不味い,negative,0.7
汚い,negative,0.7
邪魔,negative,0.7
面倒,negative,0.5
めんどくさい,negative,0.7
面倒くさい,negative,0.7
無駄,negative,0.7
意味ない,negative,0.7
意味がない,negative,0.7
役に立たない,negative,0.7
使えない,negative,0.7
損,negative,0.7
損した,negative,0.7
ダメ,negative,0.7
だめ,negative,0.7
駄目,negative,0.7
論外,negative,0.9
最低,negative,0.9
二度と買わない,negative,0.9
二度と使わない,negative,0.9
おすすめしない,negative,0.7
お勧めしない,negative,0.7
不安定,negative,0.7
不正確,negative,0.7
不適切,negative,0.7
質が悪い,negative,0.7
品質が悪い,negative,0.7
対応が悪い,negative,0.7
説明不足,negative,0.7
欠陥,negative,0.7
詐欺,negative,0.9
ぼったくり,negative,0.9
割高,negative,0.7
コスパ悪い,negative,0.7
低評価,negative,0.7
問題あり,negative,0.7
問題がある,negative,0.7
使い物にならない,negative,0.9
使いものにならない,negative,0.9
分からない,negative,0.5
わかりづらい,negative,0.7
分かりづらい,negative,0.7
見にくい,negative,0.7
見づらい,negative,0.7
読みにくい,negative,0.7
読みづらい,negative,0.7
不快,negative,0.7
不便で,negative,0.7
不具合だらけ,negative,0.9
壊れていた,negative,0.7
届かない,negative,0.7
遅すぎ,negative,0.7
遅すぎる,negative,0.7
重い,negative,0.5
重すぎ,negative,0.7
重すぎる,negative,0.7
反応しない,negative,0.7
動かない,negative,0.7
起動しない,negative,0.7
落ちる,negative,0.7
固まる,negative,0.7
フリーズ,negative,0.7
不親切な,negative,0.7
冷たい,negative,0.5
態度が悪い,negative,0.7
雑な,negative,0.7
手抜き,negative,0.7
安っぽい,negative,0.7
貧弱,negative,0.7
中途半端,negative,0.7
期待外れだった,negative,0.7
残念な,negative,0.7
残念でした,negative,0.7
ひどかった,negative,0.9
酷かった,negative,0.9
最悪だった,negative,0.9
悪かった,negative,0.7
不満です,negative,0.7
不満だ,negative,0.7
不便です,negative,0.7
不便だ,negative,0.7
微妙です,negative,0.5
微妙だ,negative,0.5
いまいちです,negative,0.5
いまいちだ,negative,0.5
面白い,positive,0.7
おもしろい,positive,0.7
面白かった,positive,0.7
おもしろかった,positive,0.7
面白すぎ,positive,0.8
おもしろすぎ,positive,0.8
つまらない,negative,0.7
つまらなかった,negative,0.7
すごい,positive,0.7
凄い,positive,0.7
すごかった,positive,0.7
すごすぎ,positive,0.8
かわいい,positive,0.6
可愛い,positive,0.6
かっこいい,positive,0.6
格好いい,positive,0.6
ありえない,negative,0.8
ありえん,negative,0.8
気持ち悪い,negative,0.8
美味しさ,positive,0.7
難しい,negative,0.5
難しすぎ,negative,0.7
神回,positive,0.8
神曲,positive,0.8
最高すぎ,positive,0.9
完璧すぎ,positive,0.9
最高傑作,positive,0.9
神メシ,positive,0.8
安心,positive,0.6
安心感,positive,0.6
安心できる,positive,0.7
後悔,negative,0.7
後悔した,negative,0.7
神,positive,0.8
神すぎ,positive,0.9
うざい,negative,0.7
うざすぎ,negative,0.8
うざかった,negative,0.7
改悪,negative,0.8
改悪だ,negative,0.8
少なすぎ,negative,0.7
少なすぎる,negative,0.7
うるさい,negative,0.6
うるさすぎ,negative,0.75
うるさすぎる,negative,0.75
暑すぎ,negative,0.7
暑すぎる,negative,0.7
寒すぎ,negative,0.7
困る,negative,0.6
困ります,negative,0.6
支障,negative,0.7
支障が出,negative,0.75
納得いかない,negative,0.75
納得できない,negative,0.75
納得しかねる,negative,0.8
納得しかねます,negative,0.8
メリットが薄い,negative,0.7
薄い,negative,0.4
小さすぎ,negative,0.7
小さすぎる,negative,0.7
大きすぎ,negative,0.7
見つからない,negative,0.5
やらなきゃよかった,negative,0.8
破壊的変更,negative,0.6
利益が出ない,negative,0.75
読めたもんじゃない,negative,0.85
耐えられない,negative,0.8
多すぎ,negative,0.6
多すぎる,negative,0.6
ブラック企業,negative,0.85
ブラックすぎ,negative,0.8
値上げばっかり,negative,0.75
眠れない,negative,0.6
眠れなかった,negative,0.6
疲れる,negative,0.5
疲れた,negative,0.5
追えない,negative,0.5
わからない,negative,0.3
ありがたい,positive,0.7
美しさ,positive,0.75
美しい,positive,0.75
平和,positive,0.5
魅力的,positive,0.8
感謝,positive,0.7
有意義,positive,0.75
好調,positive,0.7
屈指,positive,0.85
目を見張る,positive,0.8
快感,positive,0.75
格別,positive,0.8
速くなった,positive,0.65
速く,positive,0.5
的確,positive,0.7
愛着,positive,0.65
宝物,positive,0.7
風情,positive,0.65
風情ある,positive,0.7
落ち着く,positive,0.6
学びがある,positive,0.7
正しい,positive,0.5
十分速い,positive,0.7
美味しくなってる,positive,0.7
美味しくなった,positive,0.7
感心,positive,0.7
最高だった,positive,0.9
素敵だ,positive,0.75
素敵です,positive,0.75
高くない？,negative,0.6
高くない?,negative,0.6
薄くない？,negative,0.6
味薄くない,negative,0.6
多すぎでは,negative,0.7
多すぎない,negative,0.6
人生を変えた,positive,0.7
ブラックすぎん,negative,0.8
聞き取れない,negative,0.5
あり得ない,negative,0.7
効きすぎ,negative,0.5
寒い,negative,0.35
