word,emotion,intensity,context,examples,emojis
おめでとう,喜び,0.9,祝辞,誕生日おめでとう！、結婚おめでとうございます、合格おめでとう、本当におめでとう、おめでとうのメッセージ,"🎂,🎉,👏"
感動,喜び,0.9,体験・ニュース,映画を見て感動した、全力のプレーに感動、心から感動しました、感動をありがとう、涙が出るほど感動,"🥺,✨,👏"
幸福,喜び,0.9,自己,幸福な時間、最高の幸福、幸福を感じる、幸福を分かち合う、幸福な人生,"😊,🍀,🌈"
歓び,喜び,0.9,感動,歓びに浸る、再会の歓び、生きる歓び、歓びを分かち合う、歓びの涙,"✨,❤️,🎉"
歓声,喜び,0.9,喝采,歓声が上がる、歓声に包まれる、地鳴りのような歓声、歓声を送る、歓喜の歓声,"🎉,🙌,✨"
恍惚,喜び,0.9,陶酔,恍惚の表情、恍惚とした時間、恍惚に浸る、恍惚を感じる、恍惚の境地,"✨,😍,🌈"
喝采,喜び,0.9,称賛,喝采を浴びる、万雷の喝采、喝采を送る、喝采に包まれる、最高の喝采,"🎉,👏,✨"
優勝,喜び,0.9,満足感,このビール最高で優勝、休日の朝寝坊で優勝、美味しすぎて優勝、完全に優勝した、今日も優勝,"🍺,✨,🏆"
激アツ,喜び,0.9,興奮,この展開は激アツ、激アツなイベント、激アツすぎて眠れない、最高に激アツ、激アツな展開に期待,"🔥,🚀,✨"
マジ感謝,喜び,0.9,深い感謝,マジ感謝です、心からマジ感謝、マジ感謝してもしきれない、みんなにマジ感謝、マジ感謝の気持ち,"🙏,✨,❤️"
解釈一致,喜び,0.9,推し活・共感,このイラスト解釈一致すぎる、解釈一致で死ぬ、まさに解釈一致、解釈一致に感謝、解釈一致の極み,"🙏,❤️,✨"
供給過多,喜び,0.9,推し活,公式からの供給過多で死ぬ、供給過多すぎて処理できない、嬉しい悲鳴の供給過多、供給過多に感謝、供給過多で息ができない,"🥺,💖,✨"
トレンド入り,喜び,0.9,話題性,推しの名前がトレンド入り、まさかのトレンド入りに驚き、トレンド入りおめでとう、トレンド入りを狙う、トレンド入りでバズる,"📈,✨,🎉"
限界オタク,喜び,0.9,熱狂,限界オタクの叫び、限界オタクすぎて語彙力消失、今日も限界オタクしてる、限界オタクに救われる、最高の限界オタク,"🥺,💖,💨"
公式様,喜び,0.9,感謝,公式様ありがとうございます、公式様の供給に感謝、公式様が神対応、公式様にフォローされた、公式様のセンスが好き,"🙏,😇,✨"
爆伸び,喜び,0.9,バズ,ツイートが爆伸びして困惑、爆伸び中のスレッド、爆伸びの勢いが止まらん、爆伸び記念に自己紹介、爆伸びに感謝,"📈,🔥,✨"
神絵師,喜び,0.9,称賛,神絵師のイラストに眼福、憧れの神絵師様、神絵師の筆致に感動、神絵師がTLに現れた、神絵師の努力が尊い,"🎨,✨,💖"
大優勝,喜び,0.9,SNS大勝利表現,大優勝すぎる、大優勝案件、これは大優勝、大優勝しか言えない、大優勝でしかない,"🏆,🥇,🎉"
尊死,喜び,0.9,オタク最大級の喜び,尊死案件、尊死しそう、尊死確定、尊死してしまう、尊死レベルの尊さ,"💀,✨,💕"
昇天,喜び,0.9,喜びで昇天,昇天した、昇天案件、昇天しそう、昇天レベル、昇天しかない,"👼,✨,🌟"
号泣した,喜び,0.9,号泣レベルの感動,号泣した、号泣案件、号泣しながら見てた、号泣不可避、号泣確定,"😭,🌊,💕"
最高すぎ,喜び,0.9,最高の強調,最高すぎてやばい、最高すぎる件、最高すぎて言葉にならない、最高すぎて泣く、最高すぎ問題,"🔥,👑,😭"
優勝案件,喜び,0.9,SNS優勝表現,優勝案件すぎる、これは優勝案件、優勝案件確定、優勝案件でしかない、優勝案件きた,"🏆,🥇,✨"
神すぎ,喜び,0.9,神レベルの称賛,神すぎる、神すぎ案件、神すぎてやばい、神すぎて無理、神すぎを超えた,"🙏,✨,👑"
刺さった,喜び,0.85,心に響く,刺さりすぎ、めちゃ刺さった、刺さってる、ぶっ刺さった、心に刺さった,"💘,⚡,🌟"
天才,喜び,0.85,賞賛・感嘆,天才すぎる、天才かよ、天才案件、これが天才、本物の天才,"🧠,✨,👑"
完璧,喜び,0.85,完璧への称賛,完璧すぎる、完璧しかない、完璧な世界線、完璧な判断、完璧に好き,"💯,✨,👑"
しか勝たん,喜び,0.85,SNS絶対的称賛,推ししか勝たん、これしか勝たん、あなたしか勝たん、神しか勝たん、これしかない,"👑,💯,🌟"
泣けた,喜び,0.85,感動の涙,泣けた、めちゃ泣けた、泣けすぎ、泣けてしまった、普通に泣けた,"😭,💕,🌊"
好きすぎる,喜び,0.85,強烈な好意,好きすぎる件、好きすぎて無理、好きすぎるんだが、好きすぎて死ぬ、好きすぎて語彙力ない,"💕,😭,🌟"
奇跡,喜び,0.85,奇跡的な出来事,奇跡すぎる、奇跡が起きた、奇跡の展開、奇跡としか言いようがない、奇跡の連続,"✨,🌟,🍀"
ご褒美すぎ,喜び,0.85,ご褒美レベルの喜び,ご褒美すぎる展開、ご褒美すぎて涙、ご褒美すぎる、ご褒美すぎ案件、ご褒美すぎてつらい,"🎁,💕,😭"
心が震える,喜び,0.85,深い感動,心が震える、心が震えるレベル、心が震える演技、心が震える歌声、心が震えた,"💓,✨,🌊"
語彙力消えた,喜び,0.85,感動で言葉を失う,語彙力消えた、語彙力が消えた、語彙力消えるほど好き、語彙力消えすぎ、語彙力が消えていく,"😶,💕,✨"
感激,喜び,0.85,感激の喜び,感激した、感激しかない、感激レベル、感激すぎ、感激して涙が出た,"😭,🌟,💕"
充実,喜び,0.8,自己達成,仕事もプライベートも充実、最高に充実した休日、毎日が充実してる、充実感でいっぱい、充実した時間を過ごせた,"🌟,💪,🌈"
エモい,喜び,0.8,風景・思い出,夕焼けがエモい、この曲めっちゃエモい、昔の写真見てエモくなった、エモい雰囲気のカフェ、卒業式でエモい気分,"🌆,📸,🥺"
楽しみ,喜び,0.8,期待,週末の旅行が楽しみ、映画の公開が楽しみ、新しい企画が楽しみすぎる、会えるのを楽しみにしてる、楽しみな予定ができた,"✨,🎵,😊"
感謝,喜び,0.8,対人関係,いつもありがとうございます、感謝しかないです、温かいコメントに感謝、助けてくれてありがとう、感謝の気持ちを込めて,"🙏,✨,❤️"
ワクワク,喜び,0.8,期待,明日がワクワク、ワクワクが止まらない、新しい挑戦にワクワク、ドキドキワクワクする、旅行の前でワクワク,"✨,🎵,🚀"
感銘,喜び,0.8,称賛,深い感銘を受けた、スピーチに感銘、感銘を受ける出来事、感銘深い話、感銘を与えたい,"✨,🙏,📖"
満足,喜び,0.8,達成,結果に満足、大満足の一日、自己満足でいい、満足感がある、満足して眠る,"😊,✅,💤"
後光,喜び,0.8,神聖,後光が差して見える、後光を感じる、後光がまぶしい、神々しい後光、後光が差すような神対応,"😇,✨,🌟"
晴れやか,喜び,0.8,慶事,晴れやかな門出、晴れやかな表情、晴れやかな舞台、気分が晴れやか、晴れやかな日,"🎉,☀️,🌈"
爽快,喜び,0.8,スポーツ,爽快な気分、運動後の爽快感、爽快に走り抜ける、爽快な青空、爽快な飲みごたえ,"🏃‍♂️,🥤,✨"
心強い,喜び,0.8,支援,あなたがいて心強い、心強い味方、心強い言葉、心強く思う、心強いサポート,"💪,✨,🤝"
幸福感,喜び,0.8,自己,幸福感に包まれる、幸福感を味わう、幸福感でいっぱい、最高の幸福感、幸福感を感じる瞬間,"😊,🌈,🍀"
悦び,喜び,0.8,自己,悦びに浸る、密かな悦び、悦びを感じる、悦びを噛み締める、悦びに震える,"✨,😏,💖"
達成感,喜び,0.8,自己成長,仕事後の達成感がすごい、達成感を味わう、最高の達成感、達成感に満ちた顔、大きな達成感を得る,"💪,🏔️,✨"
充実感,喜び,0.8,自己達成,仕事の後の充実感、充実感を噛み締める、毎日が充実感でいっぱい、充実感のある暮らし、最高の充実感,"✨,💪,😊"
悦楽,喜び,0.8,陶酔,悦楽に浸る、禁断の悦楽、悦楽を貪る、悦楽を感じる、悦楽の境地,"✨,😏,💖"
満足感,喜び,0.8,達成,最高の満足感、満足感を味わう、満足感に浸る、満足感のある仕事、満足感でいっぱい,"😊,✅,🌟"
快感,喜び,0.8,感覚,最高の快感、快感を覚える、快感に浸る、快感を味わう、快感を得る,"✨,⚡,😊"
眼福,喜び,0.8,視覚的感動,美しい景色で眼福、推しの笑顔が眼福、眼福なひととき、まさに眼福、眼福すぎて感謝,"👀,✨,💖"
爆上がり,喜び,0.8,気分の向上,テンション爆上がり、モチベ爆上がり、期待値爆上がり、爆上がりする気分、最高に爆上がり,"🚀,📈,✨"
限界突破,喜び,0.8,挑戦,自分の限界突破、限界突破した気分、限界突破に挑戦、限界突破で最高の結果、ついに限界突破,"🚀,💪,✨"
沼る,喜び,0.8,没頭,この曲に沼る、沼る予感がする、どっぷり沼る、沼る要素しかない、抜け出せないほど沼る,"🕳️,💖,🎵"
勝ち組,喜び,0.8,成功,完全に勝ち組、勝ち組の気分、勝ち組を目指す、勝ち組の余裕、勝ち組すぎて怖い,"👑,✨,💰"
アツい,喜び,0.8,情熱,アツい展開、アツいメッセージ、胸がアツくなる、アツい試合、アツい応援,"🔥,✨,👏"
垢抜け,喜び,0.8,自己変革,Xで見かける垢抜け記録、垢抜けすぎて誰か分からん、垢抜けの努力が凄い、垢抜けに成功した秘訣、垢抜けたい人と繋がりたい,"✨,💄,👗"
テンション上がる,喜び,0.8,テンション・興奮,テンション上がりすぎ、テンション上がってる、テンション爆上がり、テンション上がるしかない、テンション上がりっぱなし,"🔥,⬆️,🎉"
幸せ,喜び,0.8,幸せ感,幸せすぎる、幸せでしかない、幸せな気持ち、幸せすぎて涙、幸せの絶頂,"😊,💕,🌸"
泣き笑い,喜び,0.8,感動と笑いの混合,泣き笑いになった、泣き笑いしてる、泣き笑いで読んだ、泣き笑い案件、泣き笑いしかない,"😂,😭,💕"
ときめく,喜び,0.8,ときめき,ときめく、ときめきがやばい、ときめきすぎ、ときめくしかない、ときめいてる,"💕,✨,🌸"
心が温まる,喜び,0.75,温かい感動,心が温まる話、心が温まった、心が温まる展開、心が温まりすぎ、心が温まる優しさ,"🤗,💕,🌸"
癒やし,喜び,0.7,リラックス,猫の写真に癒やされる、最高の癒やし、癒やしの時間が必要、音楽に癒やされる、癒やしを求めて旅行,"🐾,🌿,✨"
スッキリ,喜び,0.7,達成・解消,掃除してスッキリ、運動してスッキリした、悩みが解決してスッキリ、髪を切ってスッキリ、言いたいこと言ってスッキリ,"✨,🌊,😊"
期待,喜び,0.7,未来,新サービスに期待、若手の活躍に期待してる、期待通りの展開、期待が膨らむ、良い結果を期待したい,"📈,✨,🌟"
清々しい,喜び,0.7,気分,清々しい朝の空気、清々しい気分でスタート、清々しい秋晴れ、心の中が清々しい、清々しい表情,"☀️,🌿,✨"
愉快,喜び,0.7,娯楽,愉快な仲間たち、愉快に過ごす、愉快な気分、愉快な話、愉快でたまらない,"😆,🎵,✨"
爽やか,喜び,0.7,雰囲気,爽やかな笑顔、爽やかな挨拶、爽やかな風、爽やかな青年、気分が爽やか,"☀️,🌿,😊"
充足,喜び,0.7,達成,充足感を得る、心が充足される、充足した生活、充足を感じる瞬間、充足のひととき,"😊,✅,🌟"
優越感,喜び,0.7,比較,優越感に浸る、密かな優越感、優越感を感じる瞬間、優越感を抱く、優越感に満ちた態度,"😏,👑,✨"
充足感,喜び,0.7,心の平穏,充足感に包まれる、心が充足感で満ちる、日々の充足感、充足感を得るための活動、最高の充足感,"😊,🌟,🍀"
沼,喜び,0.7,没頭,この趣味は沼すぎる、深い沼にはまった、沼から抜け出せない、推し沼が深い、底なしの沼,"🕳️,💖,✨"
バズる,喜び,0.7,注目,投稿がバズった、突然バズって困惑、バズる予感がする、バズりすぎて怖い、バズった結果,"🐝,📱,✨"
優勝候補,喜び,0.7,期待,この店は優勝候補、自分の中で優勝候補、優勝候補筆頭、優勝候補すぎて困る、優勝候補確定,"🏅,✨,😋"
ご褒美,喜び,0.7,癒やし,自分へのご褒美、最高のご褒美、ご褒美ランチ、ご褒美があるから頑張れる、たまにはご褒美,"🍰,🎁,✨"
爆買い,喜び,0.7,解放感,ストレス発散で爆買い、ついに爆買いした、爆買いの快感、爆買いが止まらない、爆買いの嵐,"🛍️,✨,💸"
リア充,喜び,0.7,充実,リア充爆発しろ、リア充な休日、リア充アピール、リア充の生活、まさにリア充,"☀️,👫,✨"
大草原,喜び,0.7,爆笑,大草原不可避、面白すぎて大草原、画面が大草原、大草原生える、大草原の極み,"ｗｗｗ,🤣,😂"
拡散希望,喜び,0.7,宣伝,拡散希望です！お願いします、拡散希望ツイート、皆さんの力で拡散希望、拡散希望に感謝、拡散希望の波に乗る,"📢,🔁,✨"
ネタツイ,喜び,0.7,ユーモア,渾身のネタツイが滑った、ネタツイの才能が欲しい、ネタツイでTLを和ませる、ネタツイへのリプが面白い、ネタツイにマジレス禁物,"🤣,🎭,✨"
草不可避,喜び,0.7,爆笑,面白すぎて草不可避、この展開は草不可避、草不可避な動画、深夜に草不可避、草不可避すぎて腹痛い,"www,🤣,😂"
古参,喜び,0.7,プライド,自称古参が湧いてきた、古参アピールが激しい、古参のファンに感謝、古参しか知らないネタ、古参としての意地,"📜,✨,👤"
自撮り界隈,喜び,0.7,コミュニティ,自撮り界隈の加工技術すごい、自撮り界隈に参戦、自撮り界隈の闇と光、お洒落な自撮り界隈、自撮り界隈と繋がりたい,"📸,✨,💅"
ニヤニヤ,喜び,0.7,にやける喜び,ニヤニヤしてる、ニヤニヤが止まらない、ニヤニヤしながら読んでる、思わずニヤニヤ、ニヤニヤしっぱなし,"😏,💕,🌟"
にやける,喜び,0.7,笑みがこぼれる,にやけてる、にやけが止まらない、にやけしか勝たん、思わずにやける、にやけてしまった,"😊,💕,✨"
リラックス,喜び,0.6,休日・休息,お風呂でリラックス、家でリラックスして過ごす、リラックスできる空間、心身ともにリラックス、週末はリラックス,"🌿,☕,🛀"
平和,喜び,0.6,日常,平和な日曜日、世界が平和でありますように、平和な時間が流れる、平和を感じる瞬間、穏やかで平和な暮らし,"🕊️,☀️,🍀"
安堵,喜び,0.6,解消,無事で安堵した、安堵の表情、安堵のため息、試験が終わって安堵、安堵の胸をなでおろす,"😌,🍀,✨"
安らか,喜び,0.6,安息,安らかな眠り、安らかな時間を過ごす、安らかな表情、安らかな場所、心安らかに暮らす,"🕊️,🌙,💤"
飯テロ,喜び,0.6,視覚的空腹,深夜の飯テロ、この画像は飯テロ、飯テロに遭って腹減った、飯テロありがとうございます、飯テロ攻撃,"🍜,🥩,🤤"
ワンチャン,喜び,0.6,可能性,ワンチャンある、ワンチャン期待、ワンチャンいける、ワンチャン狙う、ワンチャンに賭ける,"🍀,✨,🐶"
相互フォロー,喜び,0.6,SNS交流,相互フォローありがとうございます、相互フォローの皆さんに感謝、相互フォロー限定、もっと相互フォロー増やしたい、相互フォローでお話ししたい,"🤝,✨,📱"
界隈,喜び,0.6,コミュニティ,この界隈のノリが好き、別界隈からの参戦、界隈がざわついている、界隈の有名人、界隈を盛り上げたい,"🌐,✨,🔥"
中の人,喜び,0.6,企業・公式,中の人が面白すぎる、中の人のセンスが好き、中の人お疲れ様です、中の人が変わった？、中の人の熱意に感動,"👤,✨,👏"
構文,喜び,0.6,ネタ・流行,この構文おもしろすぎ、例の構文でツイートしてみた、構文の使い所が天才、また新しい構文が生まれた、構文に忠実なリプ,"🤣,📝,✨"
おま俺,喜び,0.6,共感,それ完全にお前は俺か（おま俺）、おま俺すぎて首もげそう、おま俺案件すぎて草、おま俺なツイート発見、おま俺の極み,"🤝,✅,😂"
羨ましい,喜び,0.5,他者への憧れ,旅行に行けて羨ましい、その才能が羨ましい、羨ましいくらい仲良し、素直に羨ましいです、羨ましすぎて鼻血出る,"✨,👀,💖"
草,喜び,0.5,ネットスラング,これ面白すぎて草、シュールすぎて草生える、さすがに草、深夜に見て草、動画の最後で草,"www,😂,🤣"
お疲れ様,喜び,0.5,仕事・日常,今日もお疲れ様でした、自分へのご褒美にお疲れ様、一週間お疲れ様！、お疲れ様の乾杯、みんなお疲れ様です,"🍻,☕,👏"
秒で,喜び,0.5,迅速,秒で終わった、秒で返信、秒で決断、秒で解決、秒で完了,"⚡,✅,💨"
それな,喜び,0.5,共感,それな！わかる、本当にそれな、それなすぎて草、全力でそれな、それなの一言,"✅,🤝,😊"
生存報告,喜び,0.5,近況,久しぶりの生存報告、生きてます生存報告、生存報告代わりに投稿、生存報告のみ失礼します、元気な生存報告,"🌱,✌️,📱"
無言フォロー,喜び,0.5,SNS交流,無言フォロー失礼します、無言フォロー大歓迎、無言フォロー返し、無言フォローからの仲良し、無言フォローに驚く,"👣,✨,🤝"
ふぁぼ,喜び,0.5,承認,懐かしのふぁぼ、ふぁぼが止まらない、ふぁぼありがとうございます、ふぁぼの数で自己肯定感、ふぁぼ魔現る,"❤️,✨,📱"
身内ネタ,喜び,0.5,内輪,身内ネタで盛り上がる、身内ネタが過ぎて浮く、身内ネタに反応できない、身内ネタの楽しさ、身内ネタをTLに流す,"🤫,🤣,🏠"
地獄のミサワ,喜び,0.5,ユーモア,地獄のミサワみたいな顔した、地獄のミサワ構文で草、完全に地獄のミサワ、地獄のミサワ感がすごい、地獄のミサワに例えられる,"😏,🕶️,🤣"
生存確認,喜び,0.5,近況,生存確認ツイート、仲間の生存確認に安心、生存確認できました、定期的な生存確認、生存確認代わりにふぁぼ,"🌱,✌️,👀"
圧倒的信頼,信頼,0.9,圧倒的な信頼感,圧倒的信頼しかない、圧倒的信頼がある、圧倒的信頼を誇る、圧倒的信頼の源泉、圧倒的信頼感,"💪,💯,👑"
格が違う,信頼,0.9,格の違い・格上,格が違う、格が違いすぎ、格が違う実力、格が違う安定感、格が違う信頼感,"👑,💎,⭐"
次元が違う,信頼,0.9,次元の違い,次元が違う実力、次元が違う信頼性、次元が違う安定感、次元が違いすぎ、次元が違う,"🌌,💎,👑"
絶大な信頼,信頼,0.9,非常に高い信頼,絶大な信頼を得た、絶大な信頼がある、絶大な信頼を誇る、絶大な信頼感、絶大な信頼しかない,"💪,💯,👑"
間違いない,信頼,0.85,確信,これは間違いない、実力は間違いない、間違いなく本物、間違いない神曲、間違いなく優勝,"✅,💯,👍"
本物,信頼,0.85,本物認定,これが本物、本物の実力、本物すぎる、本物の神対応、本物の愛,"👑,💎,✨"
裏切らない,信頼,0.85,期待に応える,この人は裏切らない、期待を裏切らない、絶対裏切らない、裏切らない安心感、裏切らない実力,"🤝,💙,❤️"
文句なし,信頼,0.85,文句なしの評価,文句なしの実力、文句なしの出来、文句なし認定、文句なしで信頼、文句なしすぎる,"💯,✅,👍"
盤石,信頼,0.85,盤石な体制,盤石の構え、盤石な信頼、盤石すぎる、盤石な実力、盤石の安定感,"🪨,⚓,💯"
揺るぎない,信頼,0.85,揺るがない信頼,揺るぎない信頼、揺るぎない実力、揺るぎない安定、揺るぎない信念、揺るぎなさすぎ,"⚓,💎,🏔️"
一択,信頼,0.85,これしかない確信,これ一択、一択すぎる、一択でしょ、迷わず一択、完全に一択,"☝️,💯,✅"
信頼の厚い,信頼,0.85,周囲からの信頼,信頼の厚い人、信頼の厚いキャラ、信頼の厚さが違う、信頼の厚さがやばい、信頼の厚い発言,"🤝,💙,🌟"
間違いなく本物,信頼,0.85,本物認定の確信,間違いなく本物、間違いなく本物の実力、間違いなく本物だった、間違いなく本物すぎ、間違いなく本物の才能,"💎,✅,👑"
頼もしい,信頼,0.8,仲間への信頼,チームが頼もしい、先輩が頼もしい、頼もしい仲間がいる、頼もしすぎて惚れる、頼もしい背中,"💪,🛡️,✨"
信頼,信頼,0.8,信頼関係,信頼できる人、信頼してる、信頼感が凄い、絶大な信頼、信頼の証,"🤝,💯,🌟"
鉄板,信頼,0.8,定番・確実,鉄板の面白さ、鉄板ネタ、鉄板すぎる、鉄板メニュー、鉄板の強さ,"🔩,💯,🏅"
信頼感,信頼,0.8,信頼の雰囲気,信頼感が凄い、この人の信頼感は別格、信頼感が溢れてる、信頼感がある発言、信頼感の塊,"🤝,💙,✨"
確実,信頼,0.8,確実性,確実に来る、確実にやばい、確実に本物、確実な情報、確実に優勝,"✅,💯,📌"
ブレない,信頼,0.8,一貫性,ブレない信念、ブレない強さ、ブレないでいてくれる、ブレない姿勢がかっこいい、ブレなさすぎ,"⚓,💎,🏔️"
実力派,信頼,0.8,実力への信頼,実力派すぎる、本物の実力派、実力派が来た、実力派の活躍、間違いなく実力派,"💪,🏅,⭐"
頼れる,信頼,0.8,頼りになる存在,頼れる存在、頼れる先輩、本当に頼れる、こんなに頼れる人いない、頼れるチームメンバー,"🤝,💪,🌟"
折り紙つき,信頼,0.8,保証された実力,折り紙つきの実力、折り紙つきの信頼、折り紙つきの安定感、折り紙つきの品質、折り紙つきだから安心,"📜,✅,🏅"
お墨付き,信頼,0.8,公認・承認,お墨付きをもらった、お墨付きの実力、お墨付きの信頼性、お墨付きだから信頼、正式なお墨付き,"✅,📋,👑"
定評がある,信頼,0.8,評判の良さ,定評がある実力、定評がある安定感、定評がある信頼性、定評があるから安心、定評がありすぎ,"⭐,📣,💯"
実績がある,信頼,0.8,実績による信頼,実績がある、実績がある人、実績がある会社、実績がある方法、実績がありすぎ,"📊,✅,🏅"
バグなし,信頼,0.8,SNS・ゲームの安定,バグなしは信頼できる、バグなし運営、バグなしで快適、バグなし確認、バグなしで安心,"✅,🛡️,💯"
安定のクオリティ,信頼,0.8,品質の安定,安定のクオリティ、安定のクオリティすぎ、安定のクオリティを保ってる、安定のクオリティが好き、さすが安定のクオリティ,"⭐,💯,✅"
安定,信頼,0.75,安定感・実力,安定の強さ、安定感がある、安定して強い、安定のクオリティ、安定しすぎ,"⚓,💯,✅"
王道,信頼,0.75,王道・正統派,王道の展開、王道を行く、王道すぎて好き、王道的な面白さ、王道ヒーロー,"👑,⭐,🗺️"
安定感,信頼,0.75,ぶれない安定,安定感がやばい、圧倒的安定感、安定感に惚れる、この安定感が好き、安定感の塊,"⚓,💯,🌊"
実証済み,信頼,0.75,実績・証明,実証済みの方法、実証済みの実力、実証済み、実績で証明、検証済みの情報,"🔬,✅,📊"
筋が通る,信頼,0.75,一貫性・正直さ,筋が通った話、筋が通ってる、この人は筋が通ってる、筋の通った言動、筋を通してくれる,"🎯,💯,✨"
検証済み,信頼,0.75,ファクトチェック,検証済みの情報、検証済みで安心、ちゃんと検証済み、検証済みのソース、検証済みです,"🔍,✅,📋"
安心できる,信頼,0.75,安心の根拠,安心できる人、安心できる環境、安心できる場所、安心できる情報源、本当に安心できる,"😌,💚,🕊️"
安牌,信頼,0.75,安全牌・確実な選択,安牌すぎる、これが安牌、安牌の選択、安牌中の安牌、迷ったら安牌,"🎴,✅,😌"
安心の証,信頼,0.75,信頼の証明,安心の証がある、安心の証明、安心の証として、安心の証を示した、安心の証だから信頼,"✅,🔐,😌"
老舗の安心感,信頼,0.75,老舗ブランド信頼,老舗の安心感がある、老舗の安定感、老舗ならでは、老舗の信頼、老舗の底力,"🏛️,⭐,🎖️"
安心,信頼,0.7,安全・安堵,安心して任せられる、安心感がある、安心した、これで安心、安心の品質,"😌,🕊️,💚"
公式確認,信頼,0.7,SNS公式の信頼性,公式確認済み、公式から確認、公式が確認してる、公式確認取れた、公式確認ありがとう,"✅,🏢,📢"
きたぁ,期待,0.9,待望の到来,きたぁぁ、きたきたきた、情報きたぁ、ついにきたぁ、待ってたのきたぁ,"🎉,🙌,✨"
神アプデ,期待,0.9,SNS・ゲームの更新,神アプデきた、神アプデすぎる、これが神アプデ、待望の神アプデ、神アプデで神ゲーになった,"🙏,✨,🎊"
期待値MAX,期待,0.9,最大の期待,期待値MAX、期待値MAXすぎ、期待値がMAX、期待値MAXの状態、期待値MAX確定,"📈,🔥,✨"
優勝確定,期待,0.9,勝利の確信,優勝確定、優勝確定すぎる、もう優勝確定、優勝確定で待ってる、優勝確定の流れ,"🏆,🥇,✅"
待ってた,期待,0.85,待望・期待,ずっと待ってた、待ってたよ、待ってた情報キタ、待ってたよこれ、まじで待ってた,"🙌,🎉,💫"
解禁,期待,0.85,解禁・公開,解禁された、ついに解禁、解禁きたぁ、情報解禁、解禁おめでとう,"🎊,🔓,📢"
カウントダウン,期待,0.85,待機カウント,カウントダウン始まった、あと3日カウントダウン、カウントダウンわくわく、カウントダウン中、ついにカウントダウン,"⏰,🔥,🎉"
伏線回収,期待,0.85,予想・考察,伏線回収きた、まさかの伏線回収、伏線回収すぎ、全部伏線回収された、伏線回収の天才,"🧩,💡,🎯"
待望,期待,0.85,長期間の期待,待望の新作、待望のアップデート、待望の再会、待望の復活、ずっと待望してた,"🎉,⭐,🙌"
楽しみすぎ,期待,0.85,期待過多,楽しみすぎて眠れない、楽しみすぎる件、楽しみすぎてやばい、楽しみすぎてつらい、楽しみすぎ問題,"🎉,😭,✨"
沸く,期待,0.85,盛り上がり・期待,沸いてる、沸きすぎ、タイムライン沸いてる、沸くしかない、全員沸いてる,"🔥,💫,🎉"
フラグ回収,期待,0.85,伏線回収の期待,フラグ回収きた、フラグ回収確定、フラグ回収されそう、フラグ回収の予感、フラグ回収を待ってる,"🚩,💡,🎯"
